barcode,ENSG00000270195.1,SLBP
TCGA-44-6148-01,8650.82124575,628.365
TCGA-MP-A4TI-01,59444.60005580001,1025.62
TCGA-MP-A4TH-01,34058.3725871,818.727
TCGA-55-6970-01,2955.94938655,849.02
TCGA-69-7761-01,20187.1610307,1096.06
TCGA-78-7542-01,13198.5173917,1964.16
TCGA-78-8662-01,6163.96860955,545.996
TCGA-86-8076-01,11707.819652700002,872.344999999999
TCGA-69-7763-01,2994.16549426,703.414
TCGA-50-7109-01,12621.6159123,1210.63
TCGA-44-7672-01,14749.9902091,1201.87
TCGA-73-7499-01,35014.9618932,2552.91
TCGA-86-8672-01,60730.97317590001,1363.83
TCGA-64-1677-01,44983.3702103,1530.63
TCGA-50-6594-01,14353.9845704,1973.94
TCGA-69-A59K-01,33007.7778073,2536.29
TCGA-75-5146-01,5732.79445065,2431.61
TCGA-62-8397-01,35225.6044558,1302.19
TCGA-53-7813-01,16110.4640821,2680.37
TCGA-62-A46Y-01,40529.0639444,1126.82
TCGA-75-7027-01,31262.0800278,2077.88
TCGA-L4-A4E5-01,28158.6619923,1049.83
TCGA-62-A46P-01,46448.4484154,1322.56
TCGA-55-8096-01,15296.8864493,527.337
TCGA-55-6975-01,5502.57190211,1168.48
TCGA-91-6840-01,12693.4035311,1279.83
TCGA-91-A4BD-01,44158.0113091,1015.19
TCGA-55-7576-01,7342.1157807,1501.03
TCGA-05-4420-01,10956.4990466,1137.0
TCGA-NJ-A4YP-01,31282.5789358,1107.22
TCGA-64-5781-01,37018.2436739,1228.94
TCGA-50-6593-01,9019.0437108,1048.11
TCGA-95-7947-01,15660.6677826,1519.72
TCGA-44-2656-01,14891.254020200002,1399.27
TCGA-71-6725-01,5974.04516338,1049.65
TCGA-49-4510-01,21660.0419633,1085.57
TCGA-91-6828-01,13082.0489759,1018.52
TCGA-97-7546-01,4699.12252698,924.843
TCGA-J2-8194-01,7010.1719657,865.242
TCGA-O1-A52J-01,20022.7070012,607.177
TCGA-97-A4M1-01,31266.018197400004,660.793
TCGA-44-A4SU-01,50904.5913704,1135.34
TCGA-86-7714-01,3608.05245146,791.353
TCGA-55-7574-01,26761.3953986,794.602
TCGA-05-4433-01,5500.95349861,952.892999999999
TCGA-97-8179-01,21322.9142128,1726.81
TCGA-49-AARN-01,27992.7238223,1069.4
TCGA-86-8669-01,18388.752436,1187.15
