barcode,ENSG00000270195.1,SLBP
TCGA-63-A5MV-01,41023.4839223,1946.71
TCGA-33-4566-01,4524.521776899999,1108.3
TCGA-60-2706-01,18953.9408218,1782.68
TCGA-85-8287-01,14060.1852621,1293.02
TCGA-77-A5GH-01,9005.47307626,1337.57
TCGA-34-5927-01,10249.2292259,750.354
TCGA-56-8309-01,20162.3600573,1075.34
TCGA-37-A5EN-01,48266.43069740001,1567.14
TCGA-63-A5ML-01,26709.6105087,1362.41
TCGA-21-1078-01,19880.7967816,1014.12
TCGA-85-8479-01,49252.2411995,2033.52
TCGA-96-7545-01,6971.9114759,1501.68
TCGA-85-A4QQ-01,33199.7286941,1526.34
TCGA-34-5236-01,5245.09283607,854.281
TCGA-21-5784-01,6863.57500744,1137.68
TCGA-85-8352-01,22298.947118,1089.01
TCGA-66-2788-01,5430.35166711,1660.27
TCGA-NC-A5HL-01,45504.3322047,817.333
TCGA-77-A5FZ-01,20830.977449,816.716
TCGA-22-5491-01,8973.74226926,2672.03
TCGA-33-4533-01,8002.45675422,982.773
TCGA-18-3410-01,17620.508045599996,2366.08
TCGA-O2-A5IB-01,51620.414775,2026.89
TCGA-56-8623-01,14950.875262600002,753.401
TCGA-33-AASI-01,5616.58915774,1074.93
TCGA-43-2581-01,4272.17859985,1238.66
TCGA-77-8140-01,25386.8070622,1894.58
TCGA-56-A49D-01,57061.26938119999,2709.93
TCGA-37-A5EM-01,34861.587875599995,1356.83
TCGA-NC-A5HP-01,23835.2744185,1119.83
TCGA-90-7769-01,7854.37979854,1257.94
TCGA-33-4538-01,11458.7171069,1497.2
TCGA-18-4083-01,46422.6287104,1724.56
TCGA-22-1017-01,14837.9546968,2457.06
TCGA-66-2791-01,14416.218822799998,1225.24
TCGA-90-A4EE-01,49348.9232065,1232.47
TCGA-96-8170-01,29332.3645076,1407.41
TCGA-70-6723-01,6068.72188724,726.3
TCGA-66-2782-01,16776.0887052,1490.78
TCGA-60-2710-01,7159.70660318,1272.41
TCGA-77-6844-01,22311.8783275,1489.4
